State,Year,0,1,2,3,4,5,6,7,8,9,10,11,12
ACT,2011,2471,892,633,397,272,158,159,121,114,124,72,56,88
NSW,2011,29073,9255,4678,2720,1801,1192,822,560,425,378,277,364,530
NT,2011,3784,1256,586,266,193,104,89,48,43,71,61,27,24
Qld,2011,20700,10623,4571,2448,1543,944,530,359,243,162,108,110,112
SA,2011,11788,1667,2267,944,672,438,330,270,184,155,166,256,317
Tas,2011,2855,1440,785,349,209,117,93,101,49,40,32,18,21
Vic,2011,57105,12931,4737,2524,1709,1256,1110,822,721,689,589,720,1190
WA,2011,13945,3603,1533,745,369,248,169,117,107,72,79,80,88
ACT,2012,2121,810,598,422,330,252,209,156,88,82,53,61,148
NSW,2012,28354,8723,4952,2727,2016,1296,890,645,453,433,371,385,667
NT,2012,4144,1195,513,292,199,134,89,61,47,36,30,65,107
Qld,2012,20055,10406,5111,2773,1708,1034,669,421,275,171,140,122,88
SA,2012,10975,4118,1752,1084,755,516,406,343,270,226,204,244,376
Tas,2012,2591,1344,680,339,165,149,88,38,53,32,21,21,33
Vic,2012,59902,14683,5805,3090,1971,1395,1050,855,750,591,597,665,1049
WA,2012,13150,3609,1663,887,638,314,237,192,139,93,95,101,262
ACT,2013,2271,754,606,445,268,271,175,120,67,73,70,41,138
NSW,2013,26866,9378,5092,2868,1971,1348,866,697,605,497,388,359,816
NT,2013,3999,1321,614,290,220,181,116,59,59,52,40,41,85
Qld,2013,19860,10774,5206,2742,1739,1152,683,506,365,219,139,114,197
SA,2013,11728,3678,1967,1057,758,477,411,291,259,216,201,191,359
Tas,2013,3106,1538,825,426,240,128,105,58,48,32,17,18,36
Vic,2013,62354,16262,6722,3837,2525,1749,1410,927,806,661,561,644,1378
WA,2013,12910,3859,1733,879,603,391,255,163,142,97,95,77,178
ACT,2014,2123,616,466,432,295,249,170,153,102,54,46,62,191
NSW,2014,23239,9289,5320,3148,2084,1275,918,717,575,480,323,310,522
NT,2014,4777,1141,530,309,224,160,104,76,50,56,47,37,101
Qld,2014,18894,10402,5538,3342,2118,1194,829,583,396,290,197,141,218
SA,2014,11092,3842,1862,1166,710,507,403,266,260,237,180,186,340
Tas,2014,3360,1699,867,493,295,186,120,77,71,52,32,13,39
Vic,2014,60891,17072,7589,4379,2804,2056,1519,1027,958,826,719,858,2032
WA,2014,13069,4569,1928,1058,612,429,325,259,183,158,92,93,192
ACT,2015,1803,533,409,358,330,242,193,173,104,91,86,65,219
NSW,2015,34786,12524,7445,4268,2815,1836,1321,985,739,577,518,510,1369
NT,2015,5021,1191,586,381,235,182,137,89,76,55,40,52,122
Qld,2015,18019,9694,5457,3111,2041,1302,954,610,408,310,207,127,260
SA,2015,11045,3560,1894,1058,736,556,420,323,227,245,204,195,379
Tas,2015,3147,2035,961,557,362,198,160,101,74,65,42,20,121
Vic,2015,62539,17539,7680,4174,2807,2008,1532,1176,1007,834,748,776,2408
WA,2015,14205,4675,1908,1001,667,439,319,191,172,167,109,107,193