State,Year,Emergency or boarding house,Uncategorized,caravan park,community housing,others,owner,private housing,public housing,transitional housing
ACT,2011,647,1791,8,191,920,36,439,1135,389
NSW,2011,5433,19266,331,3203,7068,652,9585,4076,2421
NT,2011,596,1882,79,792,1051,47,450,1339,307
Qld,2011,6557,11907,429,2283,7455,282,9553,2876,1110
SA,2011,958,4086,69,852,5682,526,4199,2407,653
Tas,2011,632,1796,47,338,1064,84,1237,605,287
Vic,2011,5358,38391,694,1408,7461,2270,17504,8070,4993
WA,2011,1851,6149,149,987,2432,519,4297,4148,596
ACT,2012,525,1379,12,244,952,67,490,1298,363
NSW,2012,5511,20456,308,3393,5379,663,9573,4073,2526
NT,2012,647,2788,62,575,832,33,442,1155,352
Qld,2012,6272,10224,456,3190,6266,360,10533,4347,1273
SA,2012,759,8092,92,587,4991,513,3796,2128,305
Tas,2012,543,1866,40,291,755,80,1096,670,190
Vic,2012,5354,42165,691,1646,9396,1867,18814,7780,4658
WA,2012,2248,7627,125,786,2124,429,3533,3739,719
ACT,2013,650,1253,7,261,668,78,558,1478,324
NSW,2013,5650,15486,339,3632,5422,725,12306,5020,3148
NT,2013,757,2261,43,641,908,14,409,1604,439
Qld,2013,6273,7520,555,3174,6734,364,12694,5091,1276
SA,2013,1061,8307,141,775,4022,427,4380,2159,314
Tas,2013,572,1718,32,283,993,51,1717,1000,186
Vic,2013,6211,35762,889,1757,12033,2315,25779,9444,5606
WA,2013,2380,6903,135,1105,2135,438,3835,3515,921
ACT,2014,611,790,13,297,718,85,742,1412,290
NSW,2014,5162,9720,474,3236,6399,771,13870,4987,3553
NT,2014,769,1141,36,684,704,42,682,3107,410
Qld,2014,5826,4789,460,3530,7355,407,13759,6499,1493
SA,2014,1165,7593,123,749,3553,514,4773,2331,239
Tas,2014,604,933,39,451,1323,63,2575,1111,187
Vic,2014,7415,25905,997,2096,14345,2929,31861,10842,6301
WA,2014,2663,4777,138,1606,2957,521,5057,4401,823
ACT,2015,571,557,20,251,730,89,746,1257,382
NSW,2015,6574,14422,681,3673,9540,1042,21930,7709,4083
NT,2015,903,1314,38,728,796,59,650,3212,471
Qld,2015,5648,5153,327,3426,6800,391,12435,6706,1553
SA,2015,1142,6377,137,788,3233,534,5733,2621,252
Tas,2015,649,1045,37,490,1793,105,2437,1079,205
Vic,2015,7296,28212,841,2121,15451,2988,31779,10482,6011
WA,2015,2776,4736,149,2154,2932,720,5246,4494,921