region_name,competition_year,id,name,short_desc,long_desc,eligibility,video_url,created_at,updated_at,sponsors
Australia,2019,170,ATO for individuals,How can ATO and other Australian public data be used to help the community fill employment opportunities? ,"The ATO has extensive data on individuals that describes organised statistics on income, occupations, deductions, demographics, and more. How can this information be used to help inform individual taxpayers on how to optimise their occupational decisions? Can you predict what areas are going to be in high demand and are worth training in, or provide advice on how there is a shortage of a client’s occupation in a given state or territory?

Feel free to focus on the visualisation of existing data, or on models for extrapolating insights, or what you believe could be developed to bring benefits to the community of individuals in Australia.
",The participants need to use ATO Taxation Statistics.,"",2019-09-06 12:29:05 +1000,2019-09-06 12:29:05 +1000,"[""ATO""]"
Australia,2019,121,Australia@Sea: what is our future relationship with the ocean environment?,"Our oceans are vital to the world’s economy and provide services for all Australians including food security, industries, tourism, and well-being.","With climate change creating environmental pressures like sea-level rise, ocean acidification and threats to marine life, use one or more CSRIO data sets to connect all Australians to our oceans of the future.","Must use one or more CSIRO dataset
","",2019-09-05 22:39:25 +1000,2019-09-06 03:58:31 +1000,"[""CSIRO""]"
Australia,2019,113,Australia’s Future Employment,"Choose one of the following questions to address:
1. How can recent and future changes in the labour market help prepare young
people for job opportunities?
2. What can we learn from case studies of regional labour markets? For example,
what does rapid change in the industries or occupations within a region tell us about the needs of employers/workers in other regional labour markets","The Labour Market Information Portal (LMIP) hosts a number of datasets that enable GovHack participants to explore employment projections, internet job advertisements, labour market data like employment, unemployment, occupation and industry composition, and jobactive caseload data for regions across Australia. 
LMIP data can inform the analysis of many different policy challenges, and while it is already open data, the setting of policy challenges can encourage participants to focus on the datasets within the Portal. In this context.
",Use one or more datasets from the Labour Market Information Portal,"",2019-09-05 15:28:22 +1000,2019-09-06 03:42:26 +1000,"[""Department of Employment Skills, Small and Family Business""]"
Australia,2019,112,Bankruptcy – making it easier,This challenge aims to help us make it easier for people to tell us their income and assets when they become bankrupt.,"The winning entry will help us to check this data. It will answer questions like: Is there other data besides ours on income and assets? Who are more likely to earn higher incomes or have assets, like houses or shares or savings? Can we use machine learning to use other data to predict income and assets?",Must use Attributes of insolvent debtors Dataset,https://www.youtube.com/embed/eMT72t41hPc,2019-09-05 15:20:49 +1000,2019-09-06 04:08:23 +1000,"[""AFSA""]"
New Zealand,2019,172,Best Creative Use Of Technology,Best Creative Use Of Technology,"",Must use NZ data.,"",2019-09-06 12:49:16 +1000,2019-09-06 12:49:16 +1000,"[""Proaxiom""]"
New Zealand,2019,174,Best use of data to assist in a Civil Emergency,Best use of data to assist in a Civil Emergency,"",Must use NZ data,"",2019-09-06 12:50:10 +1000,2019-09-06 12:50:10 +1000,"[""Proaxiom""]"
Tasmania,2019,159,Best use of Tasmanian Heritage Data ,"Use the data to showcase Launceston’s history, people and stories. ",https://libraries.tas.gov.au/archive-heritage/Pages/default.aspx,Must use Tasmanian data.,"",2019-09-06 06:06:13 +1000,2019-09-06 06:06:13 +1000,"[""Department of Premier and Cabinet Tasmania""]"
Tasmania,2019,158,Best Use of Tasmanian Spatial Data,How can you use a Tasmanian spatial data to improve Tasmanian residents lives on a daily basis?,To encourage contestants to analyse and put to best use of Tasmanian spatial data,Must use Tasmanian data.,"",2019-09-06 06:04:14 +1000,2019-09-06 06:04:14 +1000,"[""Department of Premier and Cabinet Tasmania""]"
New Zealand,2019,173,Best Way to Promote Positive Mental Health,Best Way to Promote Positive Mental Health,"Have a look at 
https://mentalhealth.inquiry.govt.nz/inquiry-report/he-ara-oranga/
https://balance.org.nz",Must use NZ data.,"",2019-09-06 12:49:46 +1000,2019-09-06 19:37:10 +1000,"[""Proaxiom""]"
Australian Capital Territory,2019,127,Canberra 2029 – First Hackers: Inclusive; Progressive; Connected,How do we use data from the past to predict a better future for Canberra? How do we best support the diversity of our community? Optimise the way we travel and transport goods throughout our city? Predict the jobs of the future – and the skills needed for them? Connect our citizens with their environment?,"The ACT Population Projections 2018 to 2058 (https://apps.treasury.act.gov.au/snapshot/demography/act) point us to some exciting and challenging facts for us to manage into the future 

- By the year 2022 the ACT population is projected to reach over 452,000 people from the current (2019) 420,000.
- We are projected to reach 500,000 by 2029 and 703,000 by 2058.

A growing population is more than just the numbers. The shape of our community, and our city, will also change. As our population changes, we will look for different places, and ways, to live. We will seek out new employment opportunities and new ways to travel between our homes, schools, places of work and places of recreation. We will continue to care about the impact of our actions on both the built and natural environment. We will want to become more involved in the decision-making that impacts upon our community. 

What is in our past that can help us build a better future? Use historical data about Canberra to help shape what our city and community looks like in 2029. 

Our **First Hackers** prize will be for the project that shows how you’ve used data to build a picture of the past that backs up your prediction for a better future. One that shows a picture of Canberra 2029 in one or more of the following areas:

- Transport
- Housing
- Business and skills
- Environment and planning

Please see that attached handout to get more detail on each of the individual areas.
","Majority of team members need to have never competed in a GovHack previously and Must use at least ONE relevant/related dataset from www.data.act.gov.au
","",2019-09-06 04:24:47 +1000,2019-09-06 04:25:44 +1000,"[""ACT Government""]"
Australian Capital Territory,2019,126,🌟 Canberra 2029 – Inclusive; Progressive; Connected,How do we use data from the past to predict a better future for Canberra? How do we best support the diversity of our community? Optimise the way we travel and transport goods throughout our city? Predict the jobs of the future – and the skills needed for them? Connect our citizens with their environment?,"The ACT Population Projections 2018 to 2058 (https://apps.treasury.act.gov.au/snapshot/demography/act) point us to some exciting and challenging facts for us to manage into the future 

- By the year 2022 the ACT population is projected to reach over 452,000 people from the current (2019) 420,000.
- We are projected to reach 500,000 by 2029 and 703,000 by 2058.

A growing population is more than just the numbers. The shape of our community, and our city, will also change. As our population changes, we will look for different places, and ways, to live. We will seek out new employment opportunities and new ways to travel between our homes, schools, places of work and places of recreation. We will continue to care about the impact of our actions on both the built and natural environment. We will want to become more involved in the decision-making that impacts upon our community. 

What is in our past that can help us build a better future? Use historical data about Canberra to help shape what our city and community looks like in 2029. 

Our **major prize** will be for the project that shows how you’ve used data to build a picture of the past that backs up your prediction for a better future. One that shows a full picture of Canberra 2029 in all (or the majority of) the following areas:

- Transport
- Housing
- Business and skills
- Environment and planning

We will also offer **four runners up prizes** for projects that predict a better future for the Canberra of 2029 focusing on at least one area of either transport, housing, business and skills, or environment and planning.

Please see that attached handout to get more detail on each of the individual areas.
",Must use at least ONE relevant/related dataset from www.data.act.gov.au ,"",2019-09-06 04:20:44 +1000,2019-09-07 10:58:25 +1000,"[""ACT Government""]"
Australian Capital Territory,2019,128,Canberra 2029 – Youth Hacker - Inclusive; Progressive; Connected,How do we use data from the past to predict a better future for Canberra? How do we best support the diversity of our community? Optimise the way we travel and transport goods throughout our city? Predict the jobs of the future – and the skills needed for them? Connect our citizens with their environment?,"The ACT Population Projections 2018 to 2058 (https://apps.treasury.act.gov.au/snapshot/demography/act) point us to some exciting and challenging facts for us to manage into the future 

- By the year 2022 the ACT population is projected to reach over 452,000 people from the current (2019) 420,000.
- We are projected to reach 500,000 by 2029 and 703,000 by 2058.

A growing population is more than just the numbers. The shape of our community, and our city, will also change. As our population changes, we will look for different places, and ways, to live. We will seek out new employment opportunities and new ways to travel between our homes, schools, places of work and places of recreation. We will continue to care about the impact of our actions on both the built and natural environment. We will want to become more involved in the decision-making that impacts upon our community. 

What is in our past that can help us build a better future? Use historical data about Canberra to help shape what our city and community looks like in 2029. 

Our **Youth Hacker** prize will be for the project that shows how you’ve used data to build a picture of the past that backs up your prediction for a better future. One that shows a picture of Canberra 2029 in one or more of the following areas:

- Transport
- Housing
- Business and skills
- Environment and planning

Please see that attached handout to get more detail on each of the individual areas.
","Majority of team members need to be attending a Canberra-based school – up to and including Year 12 and Must use at least ONE relevant/related dataset from www.data.act.gov.au 
","",2019-09-06 04:29:07 +1000,2019-09-06 04:29:29 +1000,"[""ACT Government""]"
Tasmania,2019,162,🌟 Climate Change Issues in Hobart,What local climate change issues can you help solve or identify by integrating data sources?,"What local climate change issues can you help solve or identify by integrating data sources?

To get you thinking:

-	What demographics are investing most in rooftop solar PV electricity generation in Hobart?
-	What is the solar potential of Hobart rooftops?
-	What are smart future thinking solutions to local energy generation and use?
-	How will future climate events such as coastal erosion, flooding, coastal inundation, heat and bushfires impact the built and natural environment?
",Use one or more datasets from CoH Open data portal and ensure the submission relates to climate change issues in Hobart,"",2019-09-06 06:10:03 +1000,2019-09-06 06:10:03 +1000,"[""City of Hobart""]"
New Zealand,2019,124,Combating the Climate Emergency,Best hack to combat the climate emergency.,"",Must use NZ data,"",2019-09-06 04:14:46 +1000,2019-09-06 04:14:46 +1000,"[""Proaxiom""]"
Northern Territory,2019,177,🌟 Communicating Water issues to regularly new residents in Alice Springs,Educating new residents to Alice Springs about current and historical community water initiatives.,"Up to 3/5 of Alice Springs residents are new to Alice Springs within the last 5 years*.
Communicating local need-to-know information, as well as major initiatives, can get lost.
Focussing on a water saving campaign of 2013, how can the town ensure regularly new
residents each year receive and respond to existing community initiatives?


Additional Resources
https://data.nt.gov.au/
https://childfriendlyalice.weebly.com/resources.html
http://alicewatersmart.com.au/",Use of at least one data source from new NT Open Data portal,"",2019-09-06 16:34:18 +1000,2019-09-07 10:16:49 +1000,"[""NTG""]"
Northern Territory,2019,155,"🌟 Community “Clean, Green and Lean” Rewards","Develop a business solution which encourages people to live an active and green lifestyle, incentivised by a digital perks system, offered in partnership with local businesses.  ",http://open-darwin.opendata.arcgis.com,"","",2019-09-06 05:47:22 +1000,2019-09-07 10:17:07 +1000,"[""City of Darwin""]"
Northern Territory,2019,153,🌟 Community open data weather monitoring and alerts system,"Develop a digital solution, underpinned by IoT (Internet of Things) data, which is capable of early detection and alerting for weather and climate related risks to the community.",http://open-darwin.opendata.arcgis.com,Use at least one City of Darwin data source.,"",2019-09-06 05:44:13 +1000,2019-09-07 10:17:22 +1000,"[""City of Darwin""]"
Victoria,2019,151,🌟 Creating a clean city,"Our residents and businesses produce, consume, and dispose of waste every day. 
Many residents are unaware of what happens to their waste once it enters a bin or simply don't care.
How might we use data to empower and educate our community about their waste?","We aspire to be a clean and clever city and want to ensure we don't waste one of our most valuable resource, our data.

With population growth comes an increased amount of waste being generated.
We need to support people to make smart choices at each step of the waste life cycle.

How can we paint a picture of the waste life cycle for our community using data?",Use atleast 1 City of Ballarat waste dataset from data.gov.au,"",2019-09-06 05:34:49 +1000,2019-09-06 05:34:49 +1000,"[""City of Ballarat""]"
Northern Territory,2019,178,🌟 Deliver better health outcomes for people living in remote areas,Remote health services are challenging for both providers and patients.,"Many chronic conditions exist: eye problems, kidney problems, and cancer problems. Many service
issues exist: expensive flights, insufficient health buses, retention and safety of isolated
health workers. Pick a health condition (any, even not mentioned), learn how that is
currently serviced remotely, and try to improve the process for all.

Further Information
https://www.crh.org.au/centre-for-remote-health-publications
https://www.healthdirect.gov.au/northern-territory-rural-and-remote-health-services
https://nt.gov.au/wellbeing/remote-health/remote-health-services",Use of at least one data source from new NT Open Data portal,"",2019-09-06 16:43:19 +1000,2019-09-07 10:17:37 +1000,"[""NTG""]"
Northern Territory,2019,154,🌟 Determine logistics for E-mobility transport in Darwin CBD,"Identify (and justify) the ideal locations for E-mobility stations in Darwin CBD. 

http://open-darwin.opendata.arcgis.com","Your solution should consider factors such as:

- Traffic safety
- User demographics
- Ease of navigation
- Weather and climate
- Convenience
- Proximity to points of interest",Use at least one City of Darwin data source.,"",2019-09-06 05:46:11 +1000,2019-09-07 10:17:54 +1000,"[""City of Darwin""]"
South Australia,2019,156,Digital Culture,"How do we make our digital cultural heritage collections engaging for online audiences? What experiences should we be developing beyond the search and retrieve box to visualise gallery, library and museum collections online and encourage their reuse and good storytelling?","",Must use at least 2 datasets from 2 separate institutions that make up the North Terrace Cultural Precinct Innovation Lab,"",2019-09-06 05:59:59 +1000,2019-09-06 05:59:59 +1000,[]
Queensland,2019,137,Economy and Jobs,How can we create more jobs and grow the Queensland economy?  ,"Queensland’s $349 billion modern, vibrant economy is supported by a range of industries and services. 

Over the past two decades, Queensland’s economic growth has generally exceeded the national average thanks to developments such as the resources investment boom and the associated upturn in LNG exports.

Health, Mining & Energy, Agriculture, Construction, Education & Training, Financial & Professional Services and Tourism are the major contributors to economic growth in Queensland.  

Queensland’s population could be more than 8 million by 2066.  

#### Extra Resources
https://www.data.qld.gov.au/article/news-and-events/govhack-2019-challenges/economy-jobs ",We suggest you consider using the Queensland Government open datasets on data.qld.gov.au.,https://www.youtube.com/embed/3AZNqXeD4c4,2019-09-06 04:56:20 +1000,2019-09-06 23:08:54 +1000,"[""Queensland Government""]"
Western Australia,2019,166,Efficient Visualisation,Immersive visualisation to understand data,"To have better understanding of the data, it’s crucial to visualise it in a meaningful way. Generally, different tools and techniques could be utilised for visualisation. The data used for the challenge could cover wide range of fields such as climate, traffic, community health, environment, geo-science, etc. and the best approach will deliver workflow setup using single/multiple open-source/commercial tools in the most efficient way.",Use any open dataset to support your entry and having experience in scientific visualisation,"",2019-09-06 06:26:09 +1000,2019-09-06 06:26:09 +1000,"[""Pawsey Supercomputing Centre""]"
Western Australia,2019,181,Encouraging participation of WA youth in the broader community,"This challenge is to recognise the project that encourages the participation of WA youth
in the broader community","This challenge is to recognise the project that encourages the participation of WA youth
in the broader community

Data sets from other states can be used to demonstrate proof of application, and
suggests the type of data sets we need to negotiate for collection and release in WA.",WA contestants only,"",2019-09-06 17:12:05 +1000,2019-09-06 19:44:29 +1000,[]
Queensland,2019,138,Environment and Science Data,How might we use environment and science data to better engage with the community?,"Queensland is home to five World Heritage areas and has a diverse array of ecosystems.

The Queensland Government is committed to long term protection and conservation of the environment and ecologically sustainable use of its resources.

How can you use data to better tell a story and engage with Queenslanders our environment?

#### Extra Resources
https://www.data.qld.gov.au/article/news-and-events/govhack-2019-challenges/environment-science-data-challenge
https://science.des.qld.gov.au/government ",Your solution to this challenge must use at least one environment and science dataset from the Department of Environment and Science,https://www.youtube.com/embed/3AZNqXeD4c4,2019-09-06 04:59:03 +1000,2019-09-06 23:10:50 +1000,"[""Queensland Government""]"
Queensland,2019,140,Getting around on the Gold Coast,"How can we improve the way locals and tourists travel to, from and around the Gold Coast?","",Must make use of Gold Coast relevant data,"",2019-09-06 05:02:52 +1000,2019-09-06 05:02:52 +1000,"[""Griffiths University in association with City of Gold Coast""]"
Western Australia,2019,165,🌟 Granular Tourism Information,We struggle to find reliable visitation and expenditure figures for the tourism sector for the Mid West and for Geraldton specfically,"We would like to have access to reliable data for the tourism sector for the Mid West and Geraldton in particular: we require: tourist origin, tourist destination, length of stay in WA, time spent in Geraldton, money spent in WA and money spent in Geraldton.",Use any open dataset to support your entry.,"",2019-09-06 06:24:43 +1000,2019-09-06 06:24:43 +1000,"[""City of Greater Geraldton""]"
Australia,2019,110,Helping a social impact ‘start up’ (small organisation) to tell their story,"Small and informal community/interest groups who have formed to solve local problems need data to know if their activities are making a difference and to re-design programs.  How can we help these groups tell their story through data so they can seek support (political, financial, and on the ground) by showing how their programs are working, and decide where to focus next?","We are seeking to help the small and informal community groups who have formed to support families or children to make their lives better. 

These groups might be urban, rural or remote, they might only focus on a specific part of the community (e.g. local teenagers), or a particular issue (e.g. creating safe and supportive places to meet).  However, what they have in common is needing the right data to tell their story:
- to explain how and why they are making a difference and who for, 
- to identify gaps and the next steps in further supporting their community, and
- so they know where to focus next and who to collaborate with or if they need other resources. 
Can you create a way to support one of these groups (perhaps one working on an issue that you already know about) to tell their story? 

Having the data they need to tell their story can help a group to:
- clarify what they are doing and who they are helping,
- test and re-design activities to better meet the needs in their community, 
- seek support (social, financial and political), and 
- decide when and how to collaborate with other groups with similar goals.

The NDIS demand map provides an example of how data sources might be brought together to help new group (in this case potential NDIS providers) with gaps or next steps.  It shows the potential demand for disability services in a region.
https://blcw.dss.gov.au/ndis-demand-map/.  

A successful challenge might do something similar for another issue, or take this one-step further.  It would support local groups after they have identified the need for their work, to help them find out about their community context and to re-design social programs, by knowing what activities are making a difference.

Challenges do not need to incorporate DSS data. There are several datasets released by DSS and others on data.gov and data released by the ABS and the AIHW that may provide insights into local communities and the populations within them that may face additional challenges.
Other data might include Settlement data or Disability Employment Services (Outcome Rates by Disability Type) on data.gov.au.  
There are also other forms of information such as recent reports by the NDIA https://www.ndis.gov.au/about-us/data-and-insights

Further Information
The NDIS demand map provides an example of providing data to communities - it shows the potential demand for services for disability service providers
https://blcw.dss.gov.au/ndis-demand-map/",Use any open dataset to support your entry.,"",2019-09-05 12:38:15 +1000,2019-09-06 04:06:25 +1000,"[""Department of Social Services""]"
Australia,2019,114,Helping Start-ups and New Small Businesses in Australia,"Choose one of the following questions to address:
1. What trends in business activity can help encourage self-employment through NEIS?
2. What type of NEIS businesses are being started and are successful (participated in the full 12 months of NEIS Assistance) and what can we learn from broader industry growth areas?
3. How do we encourage self-employment through greater participation in NEIS for cohorts currently underrepresented?","New Business Assistance with NEIS assists eligible people to start and run their own businesses. The program provides accredited small business training, business advice and mentoring for up to 52 weeks and, if eligible, NEIS Allowance for up to 39 weeks.",Use the New Business Assistance with NEIS dataset,"",2019-09-05 15:41:08 +1000,2019-09-06 04:02:26 +1000,"[""Department of Employment Skills, Small and Family Business""]"
Queensland,2019,176,Highlighting the regional living advantages over metropolitan capitals.,Enabling people to choose the most suitable regional centre for a sea or tree change.,"People considering migration to regional centres require ways of evaluating data in an

informative and insightful way to assist them in making a decision to move away from urban centres. This Challenge is open to all data sets but entrants are encouraged to look at data in the following areas:

Access to secondary and tertiary education
Access to health services including hospitals
Median house prices
Salary ranges for professionals
Traffic wait times/ no. of traffic lights from home to destination of employment
Average daily temperature
Ease of access to natural and leisure destinations
Population density
Air quality
Entrants are not limited to the above list and so encouraged to be creative with the use of datasets.","Open to teams from Regional Areas
","",2019-09-06 15:27:34 +1000,2019-09-06 16:29:38 +1000,[]
Western Australia,2019,169,🌟 How can we make education inclusive for students with disabilities?,"Various disabilities can prove to be a barrier to learning and functioning in education. In order to provide an inclusive environment, institutions and educators need to learn how to help remove those barriers; and students need to feel that they can be involved in the process.","Typically having a higher level of education results in better employment opportunities, economic security and increased independence. However, people living with disabilities face challenges on a continual basis, that includes difficulties in participating at school leading to lower educational attainment.

In recent findings, 9% of school students have a disability and 83% of people with autism in Australia were under the age of 25. 

People of all ages are able to access educational opportunities, but people with disabilities often lack engagement, attainment, and participation. Coming up with ways to make education more inclusive is vitally important, as is coming up with ideas outside traditional educational pathways and support options.
",Use any open dataset to support your entry.,"",2019-09-06 06:37:03 +1000,2019-09-06 06:37:03 +1000,"[""Southern Regional TAFE""]"
